                               name                    recclass
27515          Northwest Africa 248                          L6
27516         Northwest Africa 2480                   Howardite
27517         Northwest Africa 2481                     Eucrite
27518         Northwest Africa 2482                     Eucrite
27519         Northwest Africa 2483                     Eucrite
27520         Northwest Africa 2484                     Eucrite
27521         Northwest Africa 2485                          H5
27522         Northwest Africa 2486                          L5
27523         Northwest Africa 2487                          H3
27524         Northwest Africa 2488                         H5 
27525         Northwest Africa 2489                          L6
27526         Northwest Africa 2490                          H3
27527         Northwest Africa 2491                          H6
27528         Northwest Africa 2492                         LL6
27529         Northwest Africa 2493                          L6
27530         Northwest Africa 2494                          H6
27531         Northwest Africa 2495                          L6
27532         Northwest Africa 2496                          H3
27533         Northwest Africa 2497                         CO3
27534         Northwest Africa 2498                          H6
27535         Northwest Africa 2499                         LL6
27536          Northwest Africa 250                          L6
27537         Northwest Africa 2500                          H3
27538         Northwest Africa 2501                          H3
27539         Northwest Africa 2502                         CV3
27540         Northwest Africa 2503                        R3-6
27541         Northwest Africa 2504                        H3-4
27542         Northwest Africa 2505                          L5
27543         Northwest Africa 2506                          L6
27544         Northwest Africa 2507                          H4
27545         Northwest Africa 2508                       CK4/5
27546         Northwest Africa 2509                          H6
27547         Northwest Africa 2510                        L3-6
27548         Northwest Africa 2511                        L3-6
27549         Northwest Africa 2512                         CO3
27550         Northwest Africa 2513                          L5
27551         Northwest Africa 2514                          H4
27552         Northwest Africa 2515                   Diogenite
27553         Northwest Africa 2516                     Eucrite
27554         Northwest Africa 2517                    Ureilite
27555         Northwest Africa 2518                          H4
27556         Northwest Africa 2519                         CK4
27557          Northwest Africa 252                          L4
27558         Northwest Africa 2520                       LL3.7
27559         Northwest Africa 2521                      H/L3.7
27560         Northwest Africa 2522                       LL3.9
27561         Northwest Africa 2526                  Enst achon
27562         Northwest Africa 2527                Mesosiderite
27563         Northwest Africa 2528                      LL(L)3
27564         Northwest Africa 2529                          H5
27565          Northwest Africa 253                          L5
27566         Northwest Africa 2530                          L6
27567         Northwest Africa 2531                         LL6
27568         Northwest Africa 2532                   Diogenite
27569         Northwest Africa 2533                           H
27570         Northwest Africa 2534                       LL5-6
27571         Northwest Africa 2535                          L5
27572         Northwest Africa 2536                       LL4-6
27573         Northwest Africa 2537                          L6
27574         Northwest Africa 2604                          H6
27575         Northwest Africa 2538                Mesosiderite
27576         Northwest Africa 2539                         LL6
27577          Northwest Africa 254                          H6
27578         Northwest Africa 2540                         LL6
27579         Northwest Africa 2541                        L5/6
27580         Northwest Africa 2542                        L3-6
27581         Northwest Africa 2543                     Eucrite
27582         Northwest Africa 2544                      L(LL)3
27583         Northwest Africa 2545                        L3-6
27584         Northwest Africa 2546                          H5
27585         Northwest Africa 2547                        L3-5
27586         Northwest Africa 2548                          H4
27587         Northwest Africa 2549                         CV3
27588          Northwest Africa 255                          L4
27589         Northwest Africa 2550                     Eucrite
27590         Northwest Africa 2557                          L5
27591         Northwest Africa 2558                          L5
27592         Northwest Africa 2559                          H4
27593          Northwest Africa 256                         LL5
27594         Northwest Africa 2560                          H4
27595         Northwest Africa 2561                         LL5
27596         Northwest Africa 2562                         LL5
27597         Northwest Africa 2563                          L5
27598         Northwest Africa 2564                        L5/6
27599         Northwest Africa 2565                          L5
27600         Northwest Africa 2566                          L6
27601         Northwest Africa 2567                          H5
27602         Northwest Africa 2791                       LL3-4
27603         Northwest Africa 2568                          H5
27604         Northwest Africa 2569                          H5
27605          Northwest Africa 257                          H6
27606         Northwest Africa 2570                         CV3
27607         Northwest Africa 2605                          H6
27608         Northwest Africa 2571                         H~6
27609         Northwest Africa 2572                         H~5
27610         Northwest Africa 2573                          L5
27611         Northwest Africa 2574                          H4
27612         Northwest Africa 2575                          H6
27613         Northwest Africa 2576                         L~6
27614         Northwest Africa 2577                          L5
27615         Northwest Africa 2578                         L~4
27616         Northwest Africa 2579                         L~6
27617          Northwest Africa 258                          H6
27618         Northwest Africa 2580                          H3
27619         Northwest Africa 2581                        L5/6
27620         Northwest Africa 2582                         H~5
27621         Northwest Africa 2583                        L3/4
27622         Northwest Africa 2584                         H~4
27623         Northwest Africa 2585                          L4
27624         Northwest Africa 2586                          L5
27625         Northwest Africa 2587                          L6
27626         Northwest Africa 2588                          L6
27627         Northwest Africa 2589                          L6
27628         Northwest Africa 2590                          L5
27629         Northwest Africa 2591                          H4
27630         Northwest Africa 2592                          H6
27631         Northwest Africa 2593                          H5
27632         Northwest Africa 2594                        H4/5
27633         Northwest Africa 2595                          H5
27634         Northwest Africa 2596                          L6
27635         Northwest Africa 2597                          L5
27636         Northwest Africa 2598                          L5
27637         Northwest Africa 2599                         LL5
27638         Northwest Africa 2600                          E6
27639         Northwest Africa 2601                          L3
27640         Northwest Africa 2602                          L6
27641         Northwest Africa 2603                          L6
27642         Northwest Africa 2606                          L5
27643         Northwest Africa 2607                          H4
27644         Northwest Africa 2608                        L4/5
27645         Northwest Africa 2609                        L4-6
27646         Northwest Africa 2610                          H3
27647         Northwest Africa 2611                          H5
27648         Northwest Africa 2612                          H5
27649         Northwest Africa 2613                        H4/5
27650         Northwest Africa 2854                       CK3/4
27651         Northwest Africa 2614                          L6
27652         Northwest Africa 2615                          H6
27653         Northwest Africa 2616                          L4
27654         Northwest Africa 2617                        H/L4
27655         Northwest Africa 2618                          L6
27656         Northwest Africa 2619                          H4
27657         Northwest Africa 2620                          H4
27658         Northwest Africa 2621                          L4
27659         Northwest Africa 2622                         LL4
27660         Northwest Africa 2623                          L4
27661         Northwest Africa 2624                    Ureilite
27662         Northwest Africa 2625                    Ureilite
27663         Northwest Africa 2626       Martian (shergottite)
27664         Northwest Africa 2627                 Acapulcoite
27665         Northwest Africa 2629                   Diogenite
27666         Northwest Africa 2634                    Ureilite
27667         Northwest Africa 2635              Achondrite-ung
27668         Northwest Africa 2639                Mesosiderite
27669         Northwest Africa 2641                   Howardite
27670         Northwest Africa 2644                   Howardite
27671         Northwest Africa 2645                         EL6
27672         Northwest Africa 2646                     Martian
27673          Northwest Africa 265                          L6
27674         Northwest Africa 2651                    Ureilite
27675         Northwest Africa 2656                 Acapulcoite
27676          Northwest Africa 266                          H5
27677         Northwest Africa 2668                          H6
27678         Northwest Africa 2669                          H4
27679          Northwest Africa 267                          H4
27680         Northwest Africa 2670                          L4
27681         Northwest Africa 2671                          H4
27682         Northwest Africa 2672                          H6
27683         Northwest Africa 2673                          H5
27684         Northwest Africa 2674                          H6
27685         Northwest Africa 2675                          L6
27686         Northwest Africa 2676                Mesosiderite
27687         Northwest Africa 2677           Iron, IAB complex
27688         Northwest Africa 2678                  Iron, IIAB
27689         Northwest Africa 2679               Iron, IAB-sHL
27690         Northwest Africa 2680               Iron, IAB-sLH
27691         Northwest Africa 2681                       CO3.5
27692         Northwest Africa 2690                     Eucrite
27693         Northwest Africa 2697                         CV3
27694         Northwest Africa 2698                   Howardite
27695         Northwest Africa 2699                 Acapulcoite
27696         Northwest Africa 2700                       Lunar
27697         Northwest Africa 2701                         LL5
27698         Northwest Africa 2702                          R4
27699         Northwest Africa 2703                    Ureilite
27700         Northwest Africa 2704                        L3.8
27701         Northwest Africa 2705                    Ureilite
27702         Northwest Africa 2706                          H4
27703         Northwest Africa 2707                          H5
27704         Northwest Africa 2708                         CK4
27705         Northwest Africa 2709                          L4
27706         Northwest Africa 2710                          H5
27707         Northwest Africa 2711                Mesosiderite
27708         Northwest Africa 2712                          H5
27709         Northwest Africa 2713                          H5
27710         Northwest Africa 2714                 Acapulcoite
27711         Northwest Africa 2717                       LL3.5
27712         Northwest Africa 2718                       CO3.1
27713         Northwest Africa 2719                          L4
27714         Northwest Africa 2720                          L4
27715         Northwest Africa 2721                        L3.8
27716         Northwest Africa 2722                          L4
27717         Northwest Africa 2723                 L-melt rock
27718         Northwest Africa 2724                     Eucrite
27719         Northwest Africa 2725                          L5
27720         Northwest Africa 2726                       LL3.6
27721         Northwest Africa 2727        Lunar (bas/gab brec)
27722         Northwest Africa 2728                       CO3.2
27723         Northwest Africa 2731                         LL5
27724         Northwest Africa 2732                          L5
27725         Northwest Africa 2733                       CO3.6
27726         Northwest Africa 2734                          L4
27727         Northwest Africa 2736                     Aubrite
27728         Northwest Africa 2774                          H4
27729         Northwest Africa 2737       Martian (chassignite)
27730         Northwest Africa 2738                   Howardite
27731         Northwest Africa 2739                   Howardite
27732         Northwest Africa 2740                          L5
27733         Northwest Africa 2741                         LL5
27734         Northwest Africa 2743                    Iron, IC
27735         Northwest Africa 2748                       LL3.4
27736         Northwest Africa 2749                          H5
27737         Northwest Africa 2750                         LL4
27738         Northwest Africa 2751                     Eucrite
27739         Northwest Africa 2752                   Howardite
27740         Northwest Africa 2753                   Diogenite
27741         Northwest Africa 2754                         LL5
27742         Northwest Africa 2758                     Eucrite
27743         Northwest Africa 2760                       CO3.1
27744         Northwest Africa 2761                       LL3.6
27745         Northwest Africa 2762                    Ureilite
27746         Northwest Africa 2763                         EL6
27747         Northwest Africa 2764                     Eucrite
27748         Northwest Africa 2765                     Eucrite
27749         Northwest Africa 2766                       LL3.9
27750         Northwest Africa 2767                         LL6
27751         Northwest Africa 2768                         LL4
27752         Northwest Africa 2769                       LL3.2
27753         Northwest Africa 2770                         LL4
27754         Northwest Africa 2771                          H5
27755         Northwest Africa 2772                         LL6
27756         Northwest Africa 2773                        L3.9
27757         Northwest Africa 2775                 Acapulcoite
27758         Northwest Africa 2776                          H5
27759         Northwest Africa 2777                          H5
27760         Northwest Africa 2778                          H4
27761         Northwest Africa 2779                          L5
27762         Northwest Africa 2781                        L4-5
27763         Northwest Africa 2782                Mesosiderite
27764         Northwest Africa 2783                          H4
27765         Northwest Africa 2784               Eucrite-pmict
27766         Northwest Africa 2785                        L3.5
27767         Northwest Africa 2786                Mesosiderite
27768         Northwest Africa 2787                         CK4
27769         Northwest Africa 2788             Achondrite-prim
27770         Northwest Africa 2792                    Ureilite
27771         Northwest Africa 2793                          L4
27772         Northwest Africa 2794                   Howardite
27773         Northwest Africa 2795                   Diogenite
27774         Northwest Africa 2796                       LL3.1
27775         Northwest Africa 2797                        L3.8
27776         Northwest Africa 2798                        L3.2
27777         Northwest Africa 2799                       LL6/7
27778          Northwest Africa 280                          L6
27779         Northwest Africa 2800       Martian (shergottite)
27780         Northwest Africa 2801                   Diogenite
27781         Northwest Africa 2802                         CV3
27782         Northwest Africa 2803                          L5
27783         Northwest Africa 2806             L6-melt breccia
27784         Northwest Africa 2807                          L3
27785         Northwest Africa 2808                          H6
27786         Northwest Africa 2809                         LL6
27787          Northwest Africa 281                          L6
27788         Northwest Africa 2810                          H5
27789         Northwest Africa 2811                        L4-5
27790         Northwest Africa 2812                          CR
27791         Northwest Africa 2813                          L6
27792         Northwest Africa 2814                         LL6
27793         Northwest Africa 2815             Mesosiderite-A2
27794         Northwest Africa 2816                        H4/5
27795         Northwest Africa 2817                    Ureilite
27796         Northwest Africa 2818                          H5
27797         Northwest Africa 2819                   Howardite
27798         Northwest Africa 2820                      LL<3.5
27799         Northwest Africa 2821                        R3.8
27800         Northwest Africa 2822                          R4
27801         Northwest Africa 2823                         LL6
27802         Northwest Africa 2824                   Diogenite
27803         Northwest Africa 2825             Achondrite-prim
27804         Northwest Africa 2826                         LL5
27805         Northwest Africa 2827                         LL4
27806         Northwest Africa 2828                     Aubrite
27807         Northwest Africa 2829                   Diogenite
27808         Northwest Africa 2830                          H4
27809         Northwest Africa 2831                          L4
27810         Northwest Africa 2832                         LL4
27811         Northwest Africa 2833                        L3.8
27812         Northwest Africa 2834                          L5
27813         Northwest Africa 2835                          H7
27814         Northwest Africa 2836                       LL3.7
27815         Northwest Africa 2837                         CV3
27816         Northwest Africa 2838                          L4
27817         Northwest Africa 2839                          L4
27818          Northwest Africa 284                          L6
27819         Northwest Africa 2840                          L4
27820         Northwest Africa 2841                        H3.9
27821         Northwest Africa 2842                          L4
27822         Northwest Africa 2843                        H3.9
27823         Northwest Africa 2844                          L5
27824         Northwest Africa 2845                          H4
27825         Northwest Africa 2846                          L4
27826         Northwest Africa 2847                          H4
27827         Northwest Africa 2848                          L4
27828         Northwest Africa 2849                          L4
27829         Northwest Africa 2850                          L5
27830         Northwest Africa 2851                          L4
27831         Northwest Africa 2852             Achondrite-prim
27832         Northwest Africa 2853                   Howardite
27833         Northwest Africa 2856                          H4
27834         Northwest Africa 2857                          L4
27835         Northwest Africa 2858                          L4
27836         Northwest Africa 2859                          H4
27837         Northwest Africa 2860                          H4
27838         Northwest Africa 2861                          L4
27839         Northwest Africa 2862                          H4
27840         Northwest Africa 2863                          L4
27841         Northwest Africa 2864                         LL4
27842         Northwest Africa 2865                          L4
27843         Northwest Africa 2866                 Acapulcoite
27844         Northwest Africa 2867                         CK4
27845         Northwest Africa 2871                 Acapulcoite
27846         Northwest Africa 2872                    Ureilite
27847         Northwest Africa 2873                   Howardite
27848         Northwest Africa 2874                     LL3.8-6
27849         Northwest Africa 2875                          L6
27850         Northwest Africa 2876                          H5
27851         Northwest Africa 2877                       L/LL6
27852         Northwest Africa 2878                          L4
27853         Northwest Africa 2879                        L4/5
27854         Northwest Africa 2880                          H6
27855         Northwest Africa 2881                         LL5
27856         Northwest Africa 2882                          H6
27857         Northwest Africa 2883                          L5
27858         Northwest Africa 2884                          L4
27859         Northwest Africa 2885                          H6
27860         Northwest Africa 2886                         LL6
27861         Northwest Africa 2890                   Howardite
27862         Northwest Africa 2895                    Ureilite
27863         Northwest Africa 2897                        R3-6
27864         Northwest Africa 2898                          H7
27865         Northwest Africa 2899                 H-melt rock
27866         Northwest Africa 2900                         CV3
27867         Northwest Africa 2901                         CV3
27868         Northwest Africa 2902                 L-melt rock
27869         Northwest Africa 2904               Eucrite-pmict
27870         Northwest Africa 2905                          L4
27871         Northwest Africa 2906                          L4
27872         Northwest Africa 2907              Achondrite-ung
27873         Northwest Africa 2908                         LL4
27874         Northwest Africa 2910                     Eucrite
27875         Northwest Africa 2911                        L3.5
27876         Northwest Africa 2912                     Eucrite
27877         Northwest Africa 2913                     Eucrite
27878         Northwest Africa 2914                     Eucrite
27879         Northwest Africa 2917                         LL4
27880         Northwest Africa 2918                       CO3.0
27881         Northwest Africa 2919                          H4
27882         Northwest Africa 2920                       LL3.5
27883         Northwest Africa 2921                       CK3.8
27884         Northwest Africa 2922                          L5
27885         Northwest Africa 2923                   Diogenite
27886         Northwest Africa 2924                Mesosiderite
27887         Northwest Africa 2927                          H4
27888         Northwest Africa 2932                Mesosiderite
27889         Northwest Africa 2933                        L3.3
27890         Northwest Africa 2935                       LL6/7
27891         Northwest Africa 2936                          H4
27892         Northwest Africa 2937                          H5
27893         Northwest Africa 2938                          H4
27894         Northwest Africa 2939                          R4
27895         Northwest Africa 2940                        R3.9
27896         Northwest Africa 2941                        R3.8
27897         Northwest Africa 2942                     Eucrite
27898         Northwest Africa 2943                        R3-6
27899         Northwest Africa 2944                          H4
27900         Northwest Africa 2945                          L4
27901         Northwest Africa 2946                        H3.8
27902         Northwest Africa 2947                          L5
27903         Northwest Africa 2948                          L5
27904         Northwest Africa 2949                     Eucrite
27905         Northwest Africa 2950                          H4
27906         Northwest Africa 2954                          H4
27907         Northwest Africa 2955                          H4
27908         Northwest Africa 2956                     Eucrite
27909         Northwest Africa 2957              Pallasite, PMG
27910         Northwest Africa 2958                          L6
27911         Northwest Africa 2959                     Eucrite
27912         Northwest Africa 2960                        L3.4
27913         Northwest Africa 2961                        L3.6
27914         Northwest Africa 2962                       LL3.3
27915         Northwest Africa 2963                    Ureilite
27916         Northwest Africa 2964                    Ureilite
27917         Northwest Africa 2965                       EL6/7
27918         Northwest Africa 2967                   Diogenite
27919         Northwest Africa 2968              Achondrite-ung
27920         Northwest Africa 2969       Martian (shergottite)
27921         Northwest Africa 2970                          H6
27922         Northwest Africa 2973                       CO3.2
27923         Northwest Africa 2974                       CO3.1
27924         Northwest Africa 2975       Martian (shergottite)
27925         Northwest Africa 2976              Achondrite-ung
27926         Northwest Africa 2977              Lunar (gabbro)
27927         Northwest Africa 2979              L/LL-melt rock
27928         Northwest Africa 2981                 L-melt rock
27929         Northwest Africa 2986       Martian (shergottite)
27930         Northwest Africa 2988                     Eucrite
27931         Northwest Africa 2990       Martian (shergottite)
27932         Northwest Africa 2993              Achondrite-ung
27933         Northwest Africa 2994               Chondrite-ung
27934         Northwest Africa 2995     Lunar (feldsp. breccia)
27935         Northwest Africa 2996                       Lunar
27936         Northwest Africa 2997                   Diogenite
27937         Northwest Africa 2998                       Lunar
27938         Northwest Africa 2999                     Angrite
27939         Northwest Africa 3000                          H5
27940         Northwest Africa 3001                          L6
27941         Northwest Africa 3002                          H5
27942         Northwest Africa 3003                         CO3
27943         Northwest Africa 3004                         CV3
27944         Northwest Africa 3005                          L3
27945         Northwest Africa 3006                      LL(L)3
27946         Northwest Africa 3007                      LL(L)3
27947         Northwest Africa 3008                 Acapulcoite
27948         Northwest Africa 3009                        L4-6
27949          Northwest Africa 301                          H6
27950         Northwest Africa 3010                          L6
27951         Northwest Africa 3011                          L5
27952         Northwest Africa 3012                         LL4
27953         Northwest Africa 3013                          L5
27954         Northwest Africa 3014                          H4
27955         Northwest Africa 3015                          H3
27956         Northwest Africa 3016                          L6
27957         Northwest Africa 3017                          H5
27958          Northwest Africa 302                          L5
27959          Northwest Africa 303                         LL4
27960         Northwest Africa 3043                          L6
27961         Northwest Africa 3044                          H4
27962         Northwest Africa 3045                          H6
27963         Northwest Africa 3046                          L3
27964         Northwest Africa 3047                          H6
27965         Northwest Africa 3048                          H6
27966         Northwest Africa 3049                          L6
27967          Northwest Africa 305                          E3
27968         Northwest Africa 3050                          L6
27969         Northwest Africa 3051                        L5/6
27970         Northwest Africa 3052                          L6
27971         Northwest Africa 3255                          L3
27972         Northwest Africa 3053                        H4-6
27973         Northwest Africa 3054                        H4/5
27974         Northwest Africa 3055              Mesosiderite-C
27975         Northwest Africa 3056               Eucrite-mmict
27976         Northwest Africa 3057                          L6
27977         Northwest Africa 3058                          L6
27978         Northwest Africa 3059                          H4
27979          Northwest Africa 306                          L4
27980         Northwest Africa 3060                          L6
27981         Northwest Africa 3061                          H6
27982         Northwest Africa 3062                          L6
27983         Northwest Africa 3063                         LL6
27984         Northwest Africa 3064                         LL6
27985         Northwest Africa 3065                          L6
27986         Northwest Africa 3066               Eucrite-pmict
27987         Northwest Africa 3067                          H4
27988         Northwest Africa 3068                          L3
27989         Northwest Africa 3069                        L5/6
27990         Northwest Africa 3070                         LL5
27991         Northwest Africa 3071                          H3
27992         Northwest Africa 3072                          H4
27993         Northwest Africa 3073                          H4
27994         Northwest Africa 3074               Eucrite-pmict
27995         Northwest Africa 3075               Eucrite-pmict
27996         Northwest Africa 3076                        H6/7
27997         Northwest Africa 3077                    Ureilite
27998         Northwest Africa 3078               Eucrite-pmict
27999         Northwest Africa 3079                          H4
28000         Northwest Africa 3080                          L6
28001         Northwest Africa 3081                       CK5/6
28002         Northwest Africa 3082               Eucrite-mmict
28003         Northwest Africa 3084                          H5
28004         Northwest Africa 3085                          H5
28005         Northwest Africa 3086                          L6
28006         Northwest Africa 3087                        L3/4
28007         Northwest Africa 3088                          L6
28008         Northwest Africa 3089                          L5
28009          Northwest Africa 309                          L5
28010         Northwest Africa 3090                          H4
28011         Northwest Africa 3091                          L5
28012         Northwest Africa 3092                          L6
28013         Northwest Africa 3093                         CO3
28014         Northwest Africa 3094                          L6
28015         Northwest Africa 3095                         CV3
28016         Northwest Africa 3096                          L6
28017         Northwest Africa 3097                          H6
28018         Northwest Africa 3098                          R5
28019         Northwest Africa 3099                       L/LL3
28020          Northwest Africa 310                          H4
28021         Northwest Africa 3100             Achondrite-prim
28022         Northwest Africa 3101                          H6
28023         Northwest Africa 3102                        EL6 
28024         Northwest Africa 3103                         LL3
28025         Northwest Africa 3104                         CV3
28026         Northwest Africa 3105                         CR2
28027         Northwest Africa 3106                   Diogenite
28028         Northwest Africa 3107                          H6
28029         Northwest Africa 3108                    Ureilite
28030         Northwest Africa 3109                    Ureilite
28031          Northwest Africa 311                          H4
28032         Northwest Africa 3110                       LL3.9
28033         Northwest Africa 3111                       LL3.9
28034         Northwest Africa 3112                         LL3
28035         Northwest Africa 3113                          H3
28036         Northwest Africa 3114                        L3.8
28037         Northwest Africa 3115                          H4
28038         Northwest Africa 3116                         CK5
28039         Northwest Africa 3117                   Howardite
28040         Northwest Africa 3118                         CV3
28041         Northwest Africa 3119                         LL4
28042          Northwest Africa 312                          L6
28043         Northwest Africa 3120                          L3
28044         Northwest Africa 3121                         LL6
28045         Northwest Africa 3122                     Eucrite
28046         Northwest Africa 3123                          H6
28047         Northwest Africa 3124                          L5
28048         Northwest Africa 3125                         LL5
28049         Northwest Africa 3126                       LL3.7
28050         Northwest Africa 3127                      LL3.10
28051         Northwest Africa 3128                       LL3.8
28052         Northwest Africa 3129                     Eucrite
28053          Northwest Africa 313                          H5
28054         Northwest Africa 3130                          H5
28055         Northwest Africa 3131                          L5
28056         Northwest Africa 3132                         EL3
28057         Northwest Africa 3133             Achondrite-prim
28058         Northwest Africa 3134                         EL6
28059         Northwest Africa 3135                    Ureilite
28060         Northwest Africa 3136              Lunar (basalt)
28061         Northwest Africa 3137                     Eucrite
28062         Northwest Africa 3138                     Eucrite
28063          Northwest Africa 314                        H3.8
28064         Northwest Africa 3140                    Ureilite
28065         Northwest Africa 3141                     Eucrite
28066         Northwest Africa 3142                     Eucrite
28067         Northwest Africa 3143                   Diogenite
28068         Northwest Africa 3145             Achondrite-prim
28069         Northwest Africa 3146                          R4
28070         Northwest Africa 3147                     Eucrite
28071         Northwest Africa 3148                     Eucrite
28072         Northwest Africa 3149                   Howardite
28073          Northwest Africa 315                          H4
28074         Northwest Africa 3151                  Brachinite
28075         Northwest Africa 3152                     Eucrite
28076         Northwest Africa 3153                          L6
28077         Northwest Africa 3154                          H4
28078         Northwest Africa 3155                         CK5
28079         Northwest Africa 3156                    Ureilite
28080         Northwest Africa 3157                         OC3
28081         Northwest Africa 3158                     Angrite
28082         Northwest Africa 3159                     Eucrite
28083         Northwest Africa 3160        Lunar (bas. breccia)
28084         Northwest Africa 3161                         OC3
28085         Northwest Africa 3162                     Eucrite
28086         Northwest Africa 3163                       Lunar
28087         Northwest Africa 3164                     Angrite
28088         Northwest Africa 3166                         LL5
28089         Northwest Africa 3169                         LL5
28090         Northwest Africa 3170              Lunar (gabbro)
28091         Northwest Africa 3171       Martian (shergottite)
28092         Northwest Africa 3172                           L
28093         Northwest Africa 3175                     Eucrite
28094         Northwest Africa 3190                       Lunar
28095         Northwest Africa 3191                         LL5
28096         Northwest Africa 3192                         CV3
28097         Northwest Africa 3193                         CK4
28098         Northwest Africa 3195              L-melt breccia
28099         Northwest Africa 3199                     Eucrite
28100         Northwest Africa 3200               Iron, IAB-sHL
28101         Northwest Africa 3201                  Iron, IIAB
28102         Northwest Africa 3202                  Iron, IIAB
28103         Northwest Africa 3204            Iron, IAB-sHL-an
28104         Northwest Africa 3205               Iron, IAB-ung
28105         Northwest Africa 3206               Iron, IAB-sLH
28106         Northwest Africa 3208                 Iron, IIIAB
28107         Northwest Africa 3211                     Eucrite
28108         Northwest Africa 3212                     Eucrite
28109         Northwest Africa 3213                Mesosiderite
28110         Northwest Africa 3214                         CV3
28111         Northwest Africa 3215                          L5
28112         Northwest Africa 3221              Ureilite-pmict
28113         Northwest Africa 3222                    Ureilite
28114         Northwest Africa 3223              Ureilite-pmict
28115         Northwest Africa 3225                          L6
28116         Northwest Africa 3226                          L6
28117         Northwest Africa 3227                          L6
28118         Northwest Africa 3228                          H5
28119         Northwest Africa 3229                       L/LL5
28120         Northwest Africa 3230                    Ureilite
28121         Northwest Africa 3231                          L4
28122         Northwest Africa 3232                    Ureilite
28123         Northwest Africa 3233                          H3
28124         Northwest Africa 3234                          L6
28125         Northwest Africa 3235                          L6
28126         Northwest Africa 3236                          H4
28127         Northwest Africa 3237                          H6
28128         Northwest Africa 3238                       L/LL6
28129         Northwest Africa 3239                          H5
28130         Northwest Africa 3240                Mesosiderite
28131         Northwest Africa 3241                          H3
28132         Northwest Africa 3242                          H6
28133         Northwest Africa 3243                          L6
28134         Northwest Africa 3244                Mesosiderite
28135         Northwest Africa 3245                          L6
28136         Northwest Africa 3246                          H5
28137         Northwest Africa 3247                          H6
28138         Northwest Africa 3248                          L6
28139         Northwest Africa 3249                          H5
28140         Northwest Africa 3250             Achondrite-prim
28141         Northwest Africa 3251                          L6
28142         Northwest Africa 3252                          H6
28143         Northwest Africa 3253                          L6
28144         Northwest Africa 3254                          L6
28145         Northwest Africa 3256                          L6
28146         Northwest Africa 3257                          L6
28147         Northwest Africa 3258                          H5
28148         Northwest Africa 3259                          H6
28149         Northwest Africa 3261                          H6
28150         Northwest Africa 3262                          L4
28151         Northwest Africa 3263                          L5
28152         Northwest Africa 3264                       L/LL5
28153         Northwest Africa 3265                          H5
28154         Northwest Africa 3266                          H5
28155         Northwest Africa 3267                        L4-6
28156         Northwest Africa 3268                          H6
28157         Northwest Africa 3269                       L/LL3
28158         Northwest Africa 3270               Eucrite-pmict
28159         Northwest Africa 3271                          H4
28160         Northwest Africa 3272                          L6
28161         Northwest Africa 3273                          L4
28162         Northwest Africa 3274                        L3-5
28163         Northwest Africa 3275                          L5
28164         Northwest Africa 3276                          L6
28165         Northwest Africa 3277                          L4
28166         Northwest Africa 3278                         LL6
28167         Northwest Africa 3279                       L/LL6
28168         Northwest Africa 3280                    Ureilite
28169         Northwest Africa 3281                         LL6
28170         Northwest Africa 3282                          L6
28171         Northwest Africa 3283                       L/LL6
28172         Northwest Africa 3284                          L6
28173         Northwest Africa 3285                          L4
28174         Northwest Africa 3286                          L4
28175         Northwest Africa 3287                          L6
28176         Northwest Africa 3288                       L/LL6
28177         Northwest Africa 3289                       L/LL6
28178         Northwest Africa 3290                    Ureilite
28179         Northwest Africa 3291                          H6
28180         Northwest Africa 3292                          H5
28181         Northwest Africa 3293                          L5
28182         Northwest Africa 3294                          L5
28183         Northwest Africa 3295                          H4
28184         Northwest Africa 3296                         LL6
28185         Northwest Africa 3297                         LL6
28186         Northwest Africa 3298                          L6
28187         Northwest Africa 3299                          H5
28188         Northwest Africa 3300                LL-melt rock
28189         Northwest Africa 3301               Eucrite-pmict
28190         Northwest Africa 3302                       H3.05
28191         Northwest Africa 3303                          L3
28192         Northwest Africa 3304                         CV3
28193         Northwest Africa 3305                 Acapulcoite
28194         Northwest Africa 3306                        H4/5
28195         Northwest Africa 3307                       L/LL4
28196         Northwest Africa 3308                          L6
28197         Northwest Africa 3309                        H4/5
28198         Northwest Africa 3310               Eucrite-pmict
28199         Northwest Africa 3311                   Howardite
28200         Northwest Africa 3312                          L5
28201         Northwest Africa 3313                          L6
28202         Northwest Africa 3314                          H5
28203         Northwest Africa 3315                         LL5
28204         Northwest Africa 3316                         LL6
28205         Northwest Africa 3317                         L~4
28206         Northwest Africa 3318                         LL5
28207         Northwest Africa 3319                       H~4/5
28208         Northwest Africa 3321                          H5
28209         Northwest Africa 3322           Iron, IAB complex
28210         Northwest Africa 3323                          L4
28211         Northwest Africa 3324                         LL4
28212         Northwest Africa 3326                         LL5
28213         Northwest Africa 3327                          H6
28214         Northwest Africa 3328                        H6/7
28215         Northwest Africa 3329                   Diogenite
28216         Northwest Africa 3330                        H/L5
28217         Northwest Africa 3331                         LL4
28218         Northwest Africa 3332                         LL6
