                               name                    recclass
292                      Farmington                          L5
293                       Farmville                          H4
294                          Favars                          H5
295                    Fayetteville                          H4
296                      Feid Chair                          H4
297                           Felix                       CO3.3
298                    Fenghsien-Ku                          H5
299                        Ferguson                          OC
300                           Fermo                        H3-5
301                          Fisher                          L6
302                        Florence                          H3
303                     Forest City                          H5
304                     Forest Vale                          H4
305                      Forksville                          L6
306                        Forsbach                          H6
307                         Forsyth                          L6
308                   Fort Flatters                  Stone-uncl
309               Frankfort (stone)                   Howardite
310                            Fuhe                          L5
311                        Fukutomi                          L5
312                           Fünen                  Stone-uncl
313                       Futtehpur                          L6
314                          Fuyang                  Stone-uncl
315                        Galapian                          H6
316                       Galim (a)                         LL6
317                       Galim (b)                    EH3/4-an
318                          Galkiv                          H4
319                          Gambat                          L6
320                      Gao-Guenie                          H5
321                     Garhi Yasin                   Iron, IIE
322                         Garland                Diogenite-pm
323                          Gashua                          L6
324                   Gasseltepaoua                          H5
325                          Geidam                          H5
326                            Gifu                          L6
327                        Girgenti                          L6
328                         Git-Git                          L6
329                      Glanerbrug                       L/LL5
330                       Glanggang                        H5-6
331                       Glasatovo                          H4
332                         Glatton                          L6
333                      Gnadenfrei                          H5
334                        Gopalpur                          H6
335                        Gorlovka                        H3.7
336                          Granes                          L6
337                       Grefsheim                          L5
338                         Grimsby                          H5
339                        Grosnaja                         CV3
340                    Gross-Divina                          H5
341                 Grossliebenthal                          L6
342                       Grüneberg                          H4
343                       Grzempach                          H5
344                    Gualeguaychú                          H6
345                   Guangmingshan                          H5
346                        Guangnan                          L6
347                        Guangrao                          L6
348                         Guareña                          H6
349                            Guêa                  Stone-uncl
350                          Guibga                          L5
351                         Guidder                         LL5
352                       Gujargaon                          H5
353                           Gujba                         CBa
354                      Gumoschnik                          H5
355                    Gurram Konda                          L6
356                          Gursum                        H4/5
357                       Gütersloh                        H3/4
358                        Gyokukei                          OC
359                       Hachi-oji                          H?
360                         Hainaut                        H3-6
361                    Hallingeberg                        L3.4
362                          Hamlet                         LL4
363                         Haraiya               Eucrite-mmict
364                        Haripura                         CM2
365                        Harleton                          L6
366                 Harrison County                          L6
367                         Hashima                          H4
368                     Hassi-Jekna               Iron, IAB-sHL
369                         Hatford                  Stone-uncl
370                          Haverö                    Ureilite
371                       Hedeskoga                          H5
372                          Hedjaz                      L3.7-6
373                         Heredia                          H5
374                          Hessle                          H5
375                    Higashi-koen                          H5
